record_type,display_title,job_title,job_categories,company_name,industry,recruitment_type,target_cohort,education_requirement,location,deadline,announcement_title,announcement_url,application_url,source_sheet,source_row,dedupe_key,raw_data,priority,status
campaign,示例科技A 2026 秋季校园招聘,,研发,示例科技A,互联网,秋招全职,2026届,本科及以上,北京/上海,2026-10-31,示例科技A 2026 秋季校园招聘,https://example.com/a/ann,https://example.com/a/app,中国大陆,128,dedupe_a_campaign,"{""layout"":""campaign_new"",""E"":""示例科技A"",""F"":""秋招全职"",""G"":""2026届"",""H"":""本科及以上"",""I"":""研发"",""J"":""北京/上海"",""K"":""2026-10-31"",""L"":""示例科技A 2026 秋季校园招聘"",""M"":""https://example.com/a/ann"",""N"":""https://example.com/a/app""}",high,discovered
job,示例后端开发工程师,示例后端开发工程师,,示例科技A,互联网,秋招全职,2026届,本科,北京,2026-09-30,示例科技A 2026 秋招,https://example.com/a/ann,https://example.com/a/app/jobs/1,中国大陆,256,dedupe_a_job1,"{""layout"":""job_old"",""E"":""示例科技A"",""F"":""示例后端开发工程师"",""G"":""北京"",""H"":""秋招全职"",""I"":""2026届"",""J"":""本科"",""K"":""2026-09-30"",""L"":""示例科技A 2026 秋招"",""M"":""https://example.com/a/ann"",""N"":""https://example.com/a/app/jobs/1""}",medium,discovered
job,示例前端开发工程师,示例前端开发工程师,,示例科技A,互联网,秋招全职,2026届,本科,上海,2026-09-30,示例科技A 2026 秋招,https://example.com/a/ann,https://example.com/a/app/jobs/2,中国大陆,257,dedupe_a_job2,"{""layout"":""job_old"",""E"":""示例科技A"",""F"":""示例前端开发工程师"",""G"":""上海"",""H"":""秋招全职"",""I"":""2026届"",""J"":""本科"",""K"":""2026-09-30"",""L"":""示例科技A 2026 秋招"",""M"":""https://example.com/a/ann"",""N"":""https://example.com/a/app/jobs/2""}",low,discovered
job,示例算法工程师,示例算法工程师,,示例科技A,互联网,秋招全职,2026届,硕士,北京,2026-09-30,示例科技A 2026 秋招,https://example.com/a/ann,https://example.com/a/app/jobs/3,中国大陆,258,dedupe_a_job3,"{""layout"":""job_old"",""E"":""示例科技A"",""F"":""示例算法工程师"",""G"":""北京"",""H"":""秋招全职"",""I"":""2026届"",""J"":""硕士"",""K"":""2026-09-30"",""L"":""示例科技A 2026 秋招"",""M"":""https://example.com/a/ann"",""N"":""https://example.com/a/app/jobs/3""}",high,shortlisted
campaign,示例制造B 2026 秋季校园招聘,,,示例制造B,制造业,秋招全职,2026届,本科,全国,2026-10-15,示例制造B 2026 秋季校园招聘,https://example.com/b/ann,https://example.com/b/app,中国大陆,300,dedupe_b_campaign,"{""layout"":""campaign_new"",""E"":""示例制造B"",""F"":""秋招全职"",""G"":""2026届"",""H"":""本科"",""I"":""生产/制造"",""J"":""全国"",""K"":""2026-10-15"",""L"":""示例制造B 2026 秋季校园招聘"",""M"":""https://example.com/b/ann"",""N"":""https://example.com/b/app""}",medium,discovered
job,示例风控专员,示例风控专员,风险/风控,示例银行C,金融,秋招全职,2026届,本科,,2026-09-20,,,https://example.com/c/app/jobs/1,中国香港,10,dedupe_c_job1,"{""layout"":""hk"",""A"":""2026-08-01"",""B"":""金融"",""C"":""示例银行C"",""D"":""示例风控专员"",""E"":""负责信用风险建模"",""F"":""秋招全职"",""G"":""2026届"",""H"":""本科"",""I"":""2026-09-20"",""J"":""https://example.com/c/app/jobs/1""}",medium,opened
job,示例柜员,示例柜员,运营/柜面,示例银行C,金融,秋招全职,2026届,本科,,2026-09-20,,,https://example.com/c/app/jobs/2,中国香港,11,dedupe_c_job2,"{""layout"":""hk"",""A"":""2026-08-01"",""B"":""金融"",""C"":""示例银行C"",""D"":""示例柜员"",""E"":""负责网点业务"",""F"":""秋招全职"",""G"":""2026届"",""H"":""本科"",""I"":""2026-09-20"",""J"":""https://example.com/c/app/jobs/2""}",low,discovered
campaign,示例咨询D 2027 暑期实习,,,示例咨询D,咨询,暑期实习,2027届,本科,北京,2026-06-30,示例咨询D 2027 暑期实习,https://example.com/d/ann,,中国大陆,400,dedupe_d_campaign,"{""layout"":""campaign_new"",""E"":""示例咨询D"",""F"":""暑期实习"",""G"":""2027届"",""H"":""本科"",""I"":""咨询"",""J"":""北京"",""K"":""2026-06-30"",""L"":""示例咨询D 2027 暑期实习"",""M"":""https://example.com/d/ann"",""N"":""""}",medium,discovered
job,示例分析师实习生,示例分析师实习生,咨询/分析,示例咨询D,咨询,暑期实习,2027届,本科,北京,2026-06-30,示例咨询D 2027 暑期实习,https://example.com/d/ann,https://example.com/d/app/jobs/1,中国大陆,401,dedupe_d_job1,"{""layout"":""job_old"",""E"":""示例咨询D"",""F"":""示例分析师实习生"",""G"":""北京"",""H"":""暑期实习"",""I"":""2027届"",""J"":""本科"",""K"":""2026-06-30"",""L"":""示例咨询D 2027 暑期实习"",""M"":""https://example.com/d/ann"",""N"":""https://example.com/d/app/jobs/1""}",high,discovered
campaign,示例零售E 2026 春招,,,示例零售E,零售,春招全职,2026届,本科,全国,2026-04-15,示例零售E 2026 春招,https://example.com/e/ann,https://example.com/e/app,中国大陆,500,dedupe_e_campaign,"{""layout"":""campaign_new"",""E"":""示例零售E"",""F"":""春招全职"",""G"":""2026届"",""H"":""本科"",""I"":""零售"",""J"":""全国"",""K"":""2026-04-15"",""L"":""示例零售E 2026 春招"",""M"":""https://example.com/e/ann"",""N"":""https://example.com/e/app""}",low,discovered
